KEYMAP_FILE_NAME	ACTION_ID
$default.xml	$Copy
$default.xml	$Cut
$default.xml	$Delete
$default.xml	$Paste
$default.xml	$Redo
$default.xml	$SelectAll
$default.xml	$Undo
$default.xml	ActivateBookmarksToolWindow
$default.xml	ActivateCommitToolWindow
$default.xml	ActivateDebugToolWindow
$default.xml	ActivateFavoritesToolWindow
$default.xml	ActivateFindToolWindow
$default.xml	ActivateHierarchyToolWindow
$default.xml	ActivateNuGetToolWindow
$default.xml	ActivateProblemsViewToolWindow
$default.xml	ActivateProjectToolWindow
$default.xml	ActivateRunToolWindow
$default.xml	ActivateServicesToolWindow
$default.xml	ActivateStructureToolWindow
$default.xml	ActivateTerminalToolWindow
$default.xml	ActivateUnitTestsToolWindow
$default.xml	ActivateVersionControlToolWindow
$default.xml	AutoIndentLines
$default.xml	Back
$default.xml	BraceOrQuoteOut
$default.xml	CallHierarchy
$default.xml	ChangeSignature
$default.xml	ChangesView.GroupBy.Directory
$default.xml	ChangesView.GroupBy.Module
$default.xml	ChangesView.Move
$default.xml	ChangesView.Rename
$default.xml	ChangesView.Revert
$default.xml	ChangesView.SetDefault
$default.xml	ChangeTypeSignature
$default.xml	ChooseDebugConfiguration
$default.xml	ChooseRunConfiguration
$default.xml	ClassNameCompletion
$default.xml	CloseActiveTab
$default.xml	CloseContent
$default.xml	CloseGotItTooltip
$default.xml	CodeCompletion
$default.xml	CodeInspection.OnEditor
$default.xml	CollapseAll
$default.xml	CollapseAllRegions
$default.xml	CollapseBlock
$default.xml	CollapseExpandableComponent
$default.xml	CollapseRegion
$default.xml	CollapseRegionRecursively
$default.xml	CollapseSelection
$default.xml	CollapseTreeNode
$default.xml	CommentByBlockComment
$default.xml	CommentByLineComment
$default.xml	CompareTwoFiles
$default.xml	Compile
$default.xml	CompileDirty
$default.xml	Console.Execute
$default.xml	Console.Execute.Multiline
$default.xml	Console.History.Browse
$default.xml	Console.History.Next
$default.xml	Console.History.Previous
$default.xml	Console.Open
$default.xml	ContextHelp
$default.xml	CopyElement
$default.xml	CopyPaths
$default.xml	CopyReference
$default.xml	Debug
$default.xml	DebugClass
$default.xml	Diff.ApplyLeftSide
$default.xml	Diff.ApplyRightSide
$default.xml	Diff.FocusOppositePane
$default.xml	Diff.FocusOppositePaneAndScroll
$default.xml	Diff.NextChange
$default.xml	Diff.PrevChange
$default.xml	Diff.ShowDiff
$default.xml	Diff.ShowSettingsPopup
$default.xml	DirDiffMenu.SynchronizeDiff
$default.xml	DirDiffMenu.SynchronizeDiff.All
$default.xml	DumpLookupElementWeights
$default.xml	DuplicatesForm.SendToLeft
$default.xml	DuplicatesForm.SendToRight
